"Dim 1";"Dim 2";"Dim 3";"Dim 4";"Dim 5"
"1";0,144856836804003;0,0189973546089211;0,00630330350498012;0,165022540606447;0,449158735078321
"2";0,0297811121625256;0,0712185886796505;0,561580735482804;0,0376956319987472;0,0785438366254053
"3";0,0522470791414701;0,0569261079650738;0,102680138864721;0,45976899278707;0,0027003084775007
"4";5,69471629388815e-05;0,00394768885200028;0,0164482974984072;0,251793607769981;0,0066109865156151
"5";0,0909378355668801;0,540680994766172;2,33445323073126e-05;0,000323248421821762;5,7489923198194e-05
"6";0,054853610003707;0,00803974146571073;0,109078640500027;0,159150302954157;0,128506916745391
"7";0,0885954240634955;0,0215057093693296;0,0886436275907921;0,0800177965997663;0,0448698189553355
"8";0,0791951449365471;0,0916371059025955;0,0253785972630139;0,0531826203136711;0,0439429717845861
"9";0,401541028737935;0,000249358041395404;7,28825138906949e-06;0,0354057360814887;0,0256835360212849
"10";0,000308176265497266;0,206784227197206;8,1409103473567e-05;0,0119198427262147;0,000854280449742083
"11";0,00757498134932302;0,16497737324092;0,000859695503112445;0,335292140055729;0,000184412707357541
"12";0,141075977014181;0,0012006342831521;0,266645893605258;0,0342813770445472;0,177538892852062
"13";0,235765679122391;0,117425676471103;0,0335423819081499;0,166689206113171;0,00281310138137035
"14";0,0424861012680182;0,0285567984730194;0,0631578319449875;0,0150970451802074;0,510472254444714
"15";7,3451680977593e-05;0,0216111632544236;0,158405175687001;0,328408794813253;0,0946226988778943
"16";0,043896369497664;0,00927464452834578;0,00903671697215238;0,0603001664441056;0,00463423909158799
"17";0,164158531719885;0,102063866563176;0,239608426202653;0,0578827382315608;0,00701364172629936
"18";0,00358713143109395;0,0111937351955489;0,0021518592056478;0,410609949269211;0,0278314264678198
"19";0,00549702684101555;0,0450917856188143;0,000581893370096829;0,0576777378011904;0,00353246664086577
"20";0,183032959781397;0,00985298439411126;0,00127744280367031;0,364666248569576;0,00741143502938315
"21";0,0769046839173085;0,0823698594774549;0,218339327424586;0,00120768029008122;0,472570251556117
"22";0,103033895845025;0,323731742822368;0,104626215114027;0,0472778946960881;0,2451755512257
"23";0,139710083760743;0,0250277201291699;0,000309329794269893;0,13576879694608;0,0649607451482582
"24";0,0227798177104613;0,00371077299381172;0,0120895761247929;0,583853299186793;0,00248465876067694
"25";0,167063206853399;0,0240071897412299;3,75839688991977e-06;0,00127367843508557;0,158932404797889
"26";0,289207085978262;0,0773186263670262;0,136141224833334;0,000109156912733746;0,0796511050125012
"27";0,0191322110414616;0,12937265930766;0,0146153764829716;0,111341849206386;0,00168422316324495
"28";0,0780207034285567;0,027158169084545;0,010017570014985;0,19825749026474;0,000613840991145347
"29";0,0747267908196057;0,0559725254705166;0,000883563022104391;0,0906902877594464;0,0095860304149096
